keys,en,uk,ru
MENU_PLAY,Play,Грати,Играть
MENU_SETTINGS,Settings,Налаштування,Настройки
MENU_CREDITS,Credits,Подяки,Благодарности
MENU_SKINS,Skins,Скіни,Скины
MENU_QUIT,Quit,Вийти,Выйти
MENU_RUNS,Runs: %d,Забігів: %d,Забегов: %d
MENU_WINS,Wins: %d,Перемог: %d,Побед: %d
MENU_BEST_FLOOR,Best: Floor %d,Найкращий: Поверх %d,Лучший: Этаж %d
MENU_BEST_SCORE,Best Score: %d,Найкращий рахунок: %d,Лучший счет: %d
MENU_COMPLETIONS,Completions: %d,Закінчено: %d,Завершено: %d
MENU_STYLE,Style: %s,Плейстайл: %s,Стиль: %s
STYLE_AGGRO,Aggro,Агресивний,Агрессивный
STYLE_BALANCED,Balanced,Балансований,Балансированный
STYLE_TANK,Tank,Танк,Танк
STYLE_UNKNOWN,Unknown,Невідомий,Неизвестный
CHAR_SELECT_TITLE,Choose Your Chibiki,Обери свого Чибіка,Выбери своего Чибика
CHAR_SELECT_SUBTITLE,Each has unique abilities and starting cards,Кожен має унікальні здібності та стартові карти,Каждый имеет уникальные способности и стартовые карты
CHAR_CHARACTERS,CHARACTERS,ПЕРСОНАЖІ,Персонажи
CHAR_LOCKED,LOCKED,ЗАМКНЕНО,ЗАКРЫТО
CHAR_START_RUN,START RUN,РОЗПОЧАТИ ЗАБІГ,НАЧАТЬ ЗАБЕГ
CHAR_UNLOCK,UNLOCK,РОЗБЛОКУВАТИ,РАЗБЛОКИРОВАТЬ
CHAR_NOT_ENOUGH_XP,NOT ENOUGH XP,НЕДОСТАТНЬО XP,НЕДОСТАТОЧНО XP
CHAR_UNLOCK_COST,Unlock Cost: %d XP,Ціна розблокування: %d XP,Цена разблокировки: %d XP
CHAR_TRIAL_REMAINING,Trial: %d combats left,Пробний режим: %d боїв,Пробный режим: %d боёв
CHAR_START_TRIAL,START TRIAL,СПРОБУВАТИ,ПОПРОБОВАТЬ
CHAR_HP,HP: %d,HP: %d,HP: %d
CHAR_ENERGY,Energy: %d,Енергія: %d,Энергия: %d
CHAR_MAX_ENERGY,Max Energy: %d,Максимальна енергія: %d,Максимальная энергия: %d
CHAR_ATTACK,Attack: %d,Атака: %d,Атака: %d
CHAR_DECK,Deck: %d cards,Колода: %d карт,Колода: %d карт
SKINS_TITLE,SPRING COLLECTION,ВЕСНЯНА КОЛЕКЦІЯ,ВЕСЕННЯЯ КОЛЛЕКЦИЯ
SKINS_OWNED,OWNED,ПРИДБАНО,КУПЛЕНО
SKINS_BUY,BUY,ПРИДБАТИ,КУПИТЬ
SKINS_NOT_ENOUGH,NOT ENOUGH,НЕДОСТАТНЬО,НЕДОСТАТОЧНО
SKINS_COST,Cost: %d Bouquets,Ціна: %d Букетиків,Цена: %d букетиков
SKINS_FOR,for %s,для %s,для %s
SETTINGS_TITLE,SETTINGS,НАЛАШТУВАННЯ,НАСТРОЙКИ
SETTINGS_GAMEPLAY,GAMEPLAY,ҐЕЙМПЛЕЙ,ГЕЙМПЛЕЙ
SETTINGS_AUTO_END_TURN,Auto End Turn,Автозакінчення ходу,Автозавершение хода
SETTINGS_CONFIRM_CARD,Confirm Card Play,Підтвердити гру картою,Подтверждение хода картой
SETTINGS_ANIM_SPEED,Animation Speed,Швидкість анімації,Скорость анимации
SETTINGS_DEBUG_MODE,Debug Mode (Cheats),Режим налагодження (Чити),Режим отладки (Читы)
SETTINGS_VISUAL,VISUAL EFFECTS,ВІЗУАЛЬНІ ЕФЕКТИ,ВИЗУАЛЬНЫЕ ЭФФЕКТЫ
SETTINGS_SCREEN_SHAKE,Screen Shake,Тремтіння екрану,Тряска экрана
SETTINGS_DAMAGE_NUMBERS,Damage Numbers,Числа шкоди,Числа урона
SETTINGS_PARTICLES,Particles,Частинки,Частицы
SETTINGS_GLARE,Glare Effects,Сяючий ефект,Сияющие эффекты
SETTINGS_REDUCED_MOTION,Reduced Motion,Зменшений рух,Уменьшенное движение
SETTINGS_AUDIO,AUDIO,АУДІО,АУДИО
